AIRCRAFT,PHASE_OF_FLIGHT,SPECIES,TIME_OF_DAY,HEIGHT,DAMAGE_SEVERITY
UNKNOWN,nan,American kestrel,UNKNOWN,-1,0
UNKNOWN,nan,Short-eared owl,UNKNOWN,-1,0
UNKNOWN,En Route,Unknown bird - medium,UNKNOWN,500,0
UNKNOWN,Landing Roll,Bank swallow,UNKNOWN,0,0
UNKNOWN,nan,Killdeer,UNKNOWN,-1,0
UNKNOWN,Take-off run,Barn swallow,UNKNOWN,0,0
UNKNOWN,Landing Roll,Mourning dove,UNKNOWN,0,0
UNKNOWN,En Route,Unknown bird - small,UNKNOWN,1000,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,500,0
UNKNOWN,Climb,Geese,UNKNOWN,500,0
UNKNOWN,Approach,Long-billed dowitcher,UNKNOWN,1200,0
UNKNOWN,Approach,"Sandpipers, curlews, phalaropes, allies",UNKNOWN,-1,0
UNKNOWN,nan,Rock pigeon,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,2000,0
UNKNOWN,Take-off run,Glaucous-winged gull,UNKNOWN,0,0
UNKNOWN,nan,Barn swallow,UNKNOWN,-1,0
UNKNOWN,Take-off run,Sparrows,UNKNOWN,0,0
UNKNOWN,nan,Western sandpiper,UNKNOWN,-1,0
UNKNOWN,nan,Ring-billed gull,UNKNOWN,-1,0
UNKNOWN,Approach,Gulls,UNKNOWN,500,0
UNKNOWN,Landing Roll,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,Approach,Chimney swift,UNKNOWN,50,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Killdeer,UNKNOWN,0,0
UNKNOWN,Climb,Unknown bird,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,200,0
UNKNOWN,nan,European starling,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,4000,0
UNKNOWN,nan,American robin,UNKNOWN,-1,0
UNKNOWN,nan,American kestrel,UNKNOWN,-1,0
UNKNOWN,Climb,Barn swallow,UNKNOWN,100,0
UNKNOWN,Climb,Unknown bird - medium,UNKNOWN,550,1
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,1800,0
UNKNOWN,nan,Barn swallow,UNKNOWN,-1,0
UNKNOWN,Approach,Perching birds (y),UNKNOWN,3300,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,3000,0
UNKNOWN,nan,American robin,UNKNOWN,-1,0
UNKNOWN,Take-off run,Gulls,UNKNOWN,0,0
UNKNOWN,Approach,Unknown bird - small,UNKNOWN,800,0
UNKNOWN,nan,Hawks,UNKNOWN,-1,0
UNKNOWN,Climb,Ring-billed gull,UNKNOWN,40,0
UNKNOWN,nan,American kestrel,UNKNOWN,-1,0
UNKNOWN,Approach,Unknown bird,UNKNOWN,6000,0
UNKNOWN,nan,Mourning dove,UNKNOWN,-1,0
UNKNOWN,Take-off run,Unknown bird - small,UNKNOWN,0,0
UNKNOWN,nan,Barn swallow,UNKNOWN,-1,0
UNKNOWN,nan,Horned lark,UNKNOWN,-1,0
UNKNOWN,Approach,Perching birds (y),UNKNOWN,5000,0
UNKNOWN,Approach,Unknown bird - medium,UNKNOWN,3100,0
UNKNOWN,Approach,Blackbirds,UNKNOWN,1600,0
UNKNOWN,nan,Rock pigeon,UNKNOWN,-1,0
UNKNOWN,Climb,House finch,UNKNOWN,20,0
UNKNOWN,nan,Brewer's blackbird,UNKNOWN,-1,0
UNKNOWN,Landing Roll,Mourning dove,UNKNOWN,0,0
UNKNOWN,Climb,Unknown bird - small,UNKNOWN,40,0
UNKNOWN,nan,Barn swallow,UNKNOWN,-1,0
UNKNOWN,Take-off run,Unknown bird,UNKNOWN,0,0
UNKNOWN,nan,Unknown bird - small,UNKNOWN,-1,0
